id,question,related_triples,retrieved_chunks
11,石英脉型钨矿体的数量是多少？,石英脉型钨矿体-数量-40个,911.990.0911.99/脉状4.2矿石质量4.2.1矿石矿物成分总体说来，本区矿石的矿物组成比较简单，岩体型钨矿、不整合面型钨矿的矿石矿物以白钨矿为主，石英脉型钨矿的矿石矿物以黑钨矿为主。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 4.1.2石英脉型钨矿石英脉型钨矿主要分布矿区的东部，本次共圈定石英脉型钨矿体40个，其中盲矿体30个，矿体形态复杂，厚度、品位变化大，因石英脉是最重要的含矿构造，矿体形态常继承石英脉形态和脉旁蚀变带的形态，总体产状与石英脉产状相同，走向NE，倾角多在40～60°之间，以②号矿体见矿最好，矿体特征见（表4-4）。。②号矿体：为石英大脉型钨矿体，矿体地表有两个探槽（TC0701、TC0301）控制，深部有一个民窿（ML2）和两个钻孔（ZK0303、ZK0702）控制，矿体控制长200m，倾向约99°，倾角47°～56°，WO矿体品位0.142～3.560%，WO平均品位0.799%，33矿体厚度0.11～1.40，平均厚度为0.63m。
12,不整合面型钨矿体的平均厚度范围？,不整合面型钨矿体-平均厚度-0.50～2.99m,表4-5不整合面型钨矿矿体特征表序矿（脉）揭露品位厚度平均品位平均厚度控制长矿体备注号体编号工程号（%）（m）（%）（m）度（m）形态1102TC08010.1201.520.1201.52/脉状2103TC08010.2112.990.2112.99/脉状3104ZK40010.1551.300.1551.30/脉状4105TC04010.0690.500..50/脉状5TC04010.156。.27～3.4m，WO3平均品位0.126%-3.260%，不整合面型钨矿体4个，矿体长小于100m，平均厚度0.50～2.99m，WO平均品位0.120%-0.366%，初步估算54个主要矿体（334）WO33资源量12454t。。表4-1岩体型钨矿主要矿体特征表矿体矿（脉）体平均品位平均厚度控制长度控制宽度序号备注形态编号（%）（m）（m）（m）1480.1281.1010040似层状2490.16411.41100245似层状3500.18718.50100400似层状4510.16120.45100470似层状5520.16912.32100460似层状650-30.1663.5060100似层状750-40.124
13,矿区距离最近的高速公路出口有多远？,毛湾矿区-距离-京珠高速洪市出口约30km,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 339.3外部建设条件9.3.1、交通、运输条件矿区交通较为方便，矿区距衡阳市区约50km，距京珠高速洪市出口约30km，西侧有公路穿越毛湾矿区。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东南部为龙溪水库，其余地区除冲沟外，地表水系不太发育。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区估算矿体55个，初步估算（334）WO资源量12454t，详细情况见（表8-1）。
14,毛湾矿区属于什么气候类型？,毛湾矿区-属-亚热带气候,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东南部为龙溪水库，其余地区除冲沟外，地表水系不太发育。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区估算矿体55个，初步估算（334）WO资源量12454t，详细情况见（表8-1）。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 同时，毛湾矿区有着与之相隔不到10km的杨林坳矿区相似的成矿地质背景，杨林坳矿区已探明的资源量30余万吨，其矿化主要沿跳马涧组底部含钙砂岩层分布，这与我们在毛湾地段所测量的化探异常晕的分布和地表矿化显示与此十分类似，且有类似的成矿地质条件。
15,矿区年平均气温是多少？,毛湾矿区-年平均气温-19°左右,"工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东南部为龙溪水库，其余地区除冲沟外，地表水系不太发育。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区估算矿体55个，初步估算（334）WO资源量12454t，详细情况见（表8-1）。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区本年度共施工钻孔4个，4个钻孔均见工业矿体，其中以毛湾矿区的ZK1503见矿最好，单矿层最大连续厚达39.02m,WO平均品位为0.128%，WO最高品33位为1.460%，并且在孔内见到7层工业矿体，单孔见矿累计厚度93.21m。"
16,毛湾背斜的核部地层是什么？,毛湾背斜-核部地层-青白口系高涧群架枧田组,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 2333.1.1高涧群架枧田组（Ptj）3主要分布于矿区中东部，毛湾隆起的核部，呈北西向展布。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 矿区褶皱主要为毛湾背斜，轴向NNW向，背斜核部出露地层为新元古界高涧群架枧田组（Ptj）板岩，粉砂质板岩等组成褶皱基底地层，两翼为泥盆系沉积盖层；3基底与盖层呈角度不整合接触，且两侧地层产状东翼缓，西翼陡。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: ③毛湾背斜：轴向NNW，核部为高涧群，东翼被毛湾断层切断，在楼屋附近棋梓桥组与高涧群呈断层接触。
17,毛湾矿区出露哪些古生代地层？,毛湾矿区-出露的地层-跳马涧组; 毛湾矿区-出露的地层-棋梓桥组; 毛湾矿区-出露的地层-佘田桥组; 毛湾矿区-出露的地层-锡矿山组,"工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 同时，毛湾矿区有着与之相隔不到10km的杨林坳矿区相似的成矿地质背景，杨林坳矿区已探明的资源量30余万吨，其矿化主要沿跳马涧组底部含钙砂岩层分布，这与我们在毛湾地段所测量的化探异常晕的分布和地表矿化显示与此十分类似，且有类似的成矿地质条件。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 图4-1毛湾矿区15号勘探线剖面图1-第四系2-高涧群架枧田组3-棋梓桥组4-。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 图2-1湖南省大地构造略图9图2-2毛湾矿区区域地质图102.2区域地层区域内出露地层较齐全，有元古界青白口系、南华系、震旦系，古生界寒武系、泥盆系、石炭系、二叠系，中生界白垩系，新生界第三系、第四系。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区东南部为龙溪水库，其余地区除冲沟外，地表水系不太发育。。.1地层矿区出露的地层主要有高涧群架枧田组（Ptj）,泥盆系跳马涧组（Dt）、棋32梓桥组（Dq）、佘田桥组（Ds）、锡矿山组（Dx）及第四系（Q）。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 通过工作大致查明了毛湾矿区地层、岩浆岩、构造、围岩蚀变等基本特征，大致了解了主要钨矿脉的品位、厚度、产状等特征。"
18,控矿地层主要包括哪些？,控矿地层-包括-青白口系高涧群架枧田组; 控矿地层-包括-跳马涧组,".1地层矿区出露的地层主要有高涧群架枧田组（Ptj）,泥盆系跳马涧组（Dt）、棋32梓桥组（Dq）、佘田桥组（Ds）、锡矿山组（Dx）及第四系（Q）。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 2.2.1元古界（1）青白口系高涧群架枧田组（Ptj）多出露于隆起带或背斜核部，岩性主3要为灰绿色、暗灰色薄层条带状绢云母板岩、绿泥石绢云母板岩、含凝灰质砂岩。高涧群中的Au、W、Sn、As、Sb等元素丰度普遍较高，其物质来源与接受古老基底陆源物质和接受中-基性海底火山喷出物质沉积有关。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: （2）不整合界面控矿作用在高涧群架枧田组与泥盆系地层之间，有一明显的不整合接触面。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 矿体受不整合面控制，矿化富集在泥盆系跳马涧组底部不整合面上下数十米范围内，且矿体主要分布于不整合面上部。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 3.1.2泥盆系跳马涧组（Dt）2分布在矿区中部和北部，与下伏高枧群架枧田组（Ptj）呈不整合接触，按岩3性可划分为下、中、上三段：下段：底部为巨厚层状石英砾岩，灰白色，砾状结构，砾石成分以石英砾为主，砾径一般2～3㎝，大者可达15㎝。"
19,矿区的成矿物质来源是什么？,毛湾矿区-成矿物质来源-花岗岩; 毛湾矿区-成矿物质来源-围岩,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 同时，毛湾矿区有着与之相隔不到10km的杨林坳矿区相似的成矿地质背景，杨林坳矿区已探明的资源量30余万吨，其矿化主要沿跳马涧组底部含钙砂岩层分布，这与我们在毛湾地段所测量的化探异常晕的分布和地表矿化显示与此十分类似，且有类似的成矿地质条件。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 图3-2毛湾矿区高精度磁测ΔT平面图24表3-2高精度磁测异常特征一览表剖面物探剖面位置物探异常地质简况备注号方法方位距离420～580正磁异常中细粒二云母花岗岩15高精度110°。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 图4-4毛湾钨矿床成矿模式图1、高涧群架枧田组板岩;2、岩前单元中细粒二云母花岗岩;3、石英脉;4、石英脉型;5、岩体型钨矿4.7.2控矿因素分析1、成（控）矿地层成（控）矿有利地层主要为高涧群架枧田组、泥盆系中统跳马涧组。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 1、成矿物质来源本次工作对矿区地层和岩浆岩的微量元素进行分析（表14），结果表明成矿物质主要来自花岗岩，部分来自围岩。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 毛湾矿区共发现含钨石英脉17条，并且在构造发育、成矿条件较好地段进行了土壤地球化学测量，圈定了W、Sｎ、Bi、Mｏ综合异常区。
20,哪些蚀变作用与钨矿化正相关？,云英岩化-正相关-钨矿化; 钾长石化-正相关-钨矿化; 金属硫化物化-正相关-钨矿化,的关系：云英岩化、硅化、绢云母化、多种硫化物化与石英大脉型黑钨矿化相关，形成含黑钨石英大脉型矿体；云英岩化、钾长石化、硅化、白云母化、多种硫化物化与岩体型白钨矿化密切。。图3-1矿区钨矿蚀变垂直分带示意图1、云英岩化带;2、强云英岩化钾化带;3、云英岩化钠化钾长化带;4、钠长石化、钾长石化;5、钾长石化带;6、中侏罗世岩前单元;7、黑云母二长花岗岩;8、黑钨矿；9、白钨矿;3.4.2蚀变与矿化的关系矿区围岩蚀变与矿化的关系主要表现在以下三个方面：1、蚀变与矿床种类的关系：云英岩化、硅化、绢云母化、多种硫化物化与石英大脉型黑钨矿化相关，形成含黑钨石英大脉型矿体；云。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 2、蚀变与矿种的关系：云英岩化、硅化、多种硫化物化与黑钨矿相关；云英22岩化、钾长石化、硅化、白云母化、多种硫化物化与白钨矿化关系密切，蚀变越强矿化越强。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 其中云英岩化、钾长石化及金属硫化物化与钨矿化呈正相关关系。
21,中侏罗世岩前单元包含哪些主要矿物？,中侏罗世岩前单元-矿物-石英; 中侏罗世岩前单元-矿物-斜长石; 中侏罗世岩前单元-矿物-钾长石; 中侏罗世岩前单元-矿物-黑云母; 中侏罗世岩前单元-矿物-白云母; 中侏罗世岩前单元-矿物-电气石; 中侏罗世岩前单元-矿物-锆石,工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 石英脉宽一般10～30cm，间距10～30m不等，矿脉整体走向北东向，倾向SE，倾角40°-60°。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 砾石成分以脉石英为主，次为砂岩砾石。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 石英脉往岩体中心或深部分枝变小，直至尖灭（图4-5）。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 斑晶以微斜长石为主，石英次之，基质由微斜长石(35～47%)、更长石(20～32%)、石英(25～30%)、黑云母(1～7%)以及锆石、磷灰石、独居石及白云母等组成。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 岩石呈灰白色、浅红色，组成岩石的主要矿物有石英、斜长石、钾长石、黑云母、白云母等。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 7、长石：半自形板状，包括钾长石和斜长石，钾长石多蚀变为高岭土，斜长石常见聚片双晶。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 4.5矿体围岩和夹石4.5.1矿体围岩岩体型矿体围岩主要为细粒白云母二长花岗岩、中细粒二云母二长花岗岩和这两种岩石所形成的构造岩，其成分由钾长石、斜长石、石英、黑云母及白云母等组成，具花岗结构或碎裂花岗结构、块状构造。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 但总的来说，区内地质体的地球物理特征可归纳如下：图3-3毛湾矿区15号剖面反演电阻率断面图图3-4毛湾矿区15号剖面地质推断解释断面图26（1）中侏罗世岩前单元中细粒二云母花岗岩（Jy）的电阻率一般在1800Ω·m～24800Ω·m左右，在区内表现为高阻。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 构成岩体的主要岩石类型，自岩体中心向岩体边缘，依次为黑云母花岗岩、二云母花岗岩和白云母花岗岩。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 由于该岩层岩性不同及距花岗岩的远近不一，经热液蚀变而形成了角岩化斑点状绢云母板岩、角岩化砂质绢云母板岩、角岩化砂质板岩、斑点状云母角岩、云母石英角岩、电气石云母石英角岩等。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 8、白云母：半自形鳞片状，在矿石中较常见，尤其是在构造带旁侧(以内带较多)云英岩中。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 岩体内常见的脉岩，为细粒白云母花岗岩脉，偶见花岗伟晶岩脉。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 副矿物有电气石、锆石等。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 矿物成分主要为石英、绢云母、绿泥石，其次为电气石、黄铁矿等，次要矿物为磁黄铁矿、堇青石、红柱石、黑云母、白云母、辉石等。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 矿物组合为石英—铁锂云母—石英—电气石—白云母—钾长石—黄铁矿—黄铜矿—黑钨矿—锡石。。工作区位于湖南省衡南县花桥镇，隶属于衡南县川口办事处管辖，距衡阳市约50km。: 成矿物质主要来自花岗岩，部分来自围岩。
